HP Category,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR
7.5 hp,2009,2,174,819070,34,171014,140,648056
7.5 hp,2009,3,198,986382,64,314716,134,671666
7.5 hp,2009,4,180,854750,54,268154,126,586596
7.5 hp,2009,5,130,626504,46,248826,84,377678
7.5 hp,2009,6,174,835022,54,272662,120,562360
7.5 hp,2009,7,196,967806,58,268624,138,699182
7.5 hp,2009,8,184,826150,56,270716,128,555434
7.5 hp,2009,9,186,831620,54,248668,132,582952
7.5 hp,2009,10,206,879310,64,287066,142,592244
7.5 hp,2009,11,186,897142,46,226992,140,670150
7.5 hp,2009,12,228,1061954,80,385186,148,676768
7.5 hp,2010,1,170,825706,62,299650,108,526056
7.5 hp,2010,2,140,690800,48,223940,92,466860
7.5 hp,2010,3,206,997538,74,361990,132,635548
7.5 hp,2010,4,200,969072,58,282300,142,686772
7.5 hp,2010,5,178,882902,42,205242,136,677660
7.5 hp,2010,6,192,908622,48,226844,144,681778
7.5 hp,2010,7,200,925066,58,249920,142,675146
7.5 hp,2010,8,178,868830,44,201052,134,667778
7.5 hp,2010,9,224,1027144,68,317008,156,710136
7.5 hp,2010,10,200,923778,72,317392,128,606386
7.5 hp,2010,11,212,1047202,64,287088,148,760114
7.5 hp,2010,12,264,1182848,70,321454,194,861394
7.5 hp,2011,1,222,1029032,42,205172,180,823860
7.5 hp,2011,2,192,946162,48,224266,144,721896
7.5 hp,2011,3,262,1216852,66,306536,196,910316
7.5 hp,2011,4,196,968918,66,302550,130,666368
7.5 hp,2011,5,226,1114662,58,272040,168,842622
7.5 hp,2011,6,248,1143718,44,212500,204,931218
7.5 hp,2011,7,218,1040202,64,301084,154,739118
7.5 hp,2011,8,266,1278246,78,379706,188,898540
7.5 hp,2011,9,314,1491074,92,462018,222,1029056
7.5 hp,2011,10,242,1129980,70,343268,172,786712
7.5 hp,2011,11,244,1106698,108,464290,136,642408
7.5 hp,2011,12,312,1468728,66,320888,246,1147840
7.5 hp,2012,1,248,1172284,60,255402,188,916882
7.5 hp,2012,2,252,1124812,80,382252,172,742560
7.5 hp,2012,3,300,1425384,60,267530,240,1157854
7.5 hp,2012,4,262,1265856,74,322278,188,943578
7.5 hp,2012,5,242,1191308,112,520540,130,670768
7.5 hp,2012,6,230,1158770,76,356436,154,802334
7.5 hp,2012,7,224,1108026,66,310696,158,797330
7.5 hp,2012,8,244,1203020,70,350842,174,852178
7.5 hp,2012,9,278,1389698,104,523356,174,866342
7.5 hp,2012,10,292,1437842,94,458070,198,979772
7.5 hp,2012,11,306,1494388,70,335452,236,1158936
7.5 hp,2012,12,314,1472110,78,376356,236,1095754
7.5 hp,2013,1,242,1256738,66,326292,176,930446
7.5 hp,2013,2,234,1156594,86,390262,148,766332
7.5 hp,2013,3,268,1364348,96,437204,172,927144
7.5 hp,2013,4,278,1400654,88,416936,190,983718
7.5 hp,2013,5,304,1497672,96,467992,208,1029680
7.5 hp,2013,6,252,1300222,78,370342,174,929880
7.5 hp,2013,7,248,1176508,60,282714,188,893794
7.5 hp,2013,8,296,1506664,98,467140,198,1039524
7.5 hp,2013,9,260,1316608,78,351966,182,964642
7.5 hp,2013,10,288,1496756,80,402444,208,1094312
7.5 hp,2013,11,310,1577502,96,462932,214,1114570
7.5 hp,2013,12,320,1631636,110,512038,210,1119598
7.5 hp,2014,1,142,692178,116,525608,84,429374
7.5 hp,2014,2,118,601196,70,318654,83,441869
7.5 hp,2014,3,138,698726,86,410028,95,493712
7.5 hp,2014,4,300,1509882,98,471902,202,1037980
7.5 hp,2014,5,116,591410,62,319336.4,85,431741.8
7.5 hp,2014,6,139,685222,84,385014.14,97,492714.93
7.5 hp,2014,7,,,,,,
7.5 hp,2014,8,,,,,,
7.5 hp,2014,9,,,,,,
7.5 hp,2014,10,,,,,,
7.5 hp,2014,11,,,,,,
7.5 hp,2014,12,,,,,,
75 hp,2009,1,112,2677164,24,498820,88,2178344
75 hp,2009,2,102,2242996,20,447040,82,1795956
75 hp,2009,3,142,3259452,30,598424,112,2661028
75 hp,2009,4,76,1696502,16,327728,60,1368774
75 hp,2009,5,110,2418344,36,782046,74,1636298
75 hp,2009,6,118,2514022,26,562520,92,1951502
75 hp,2009,7,104,2457758,20,430028,84,2027730
75 hp,2009,8,74,1708694,26,547006,48,1161688
75 hp,2009,9,120,2490620,40,786474,80,1704146
75 hp,2009,10,98,2155344,24,469042,74,1686302
75 hp,2009,11,128,2682766,20,378084,108,2304682
75 hp,2009,12,138,3163496,30,651520,108,2511976
75 hp,2010,1,102,2143662,14,264164,88,1879498
75 hp,2010,2,130,2964116,28,599716,102,2364400
75 hp,2010,3,176,3920064,44,888412,132,3031652
75 hp,2010,4,136,2928260,40,838734,96,2089526
75 hp,2010,5,142,3235608,32,705082,110,2530526
75 hp,2010,6,156,3655308,46,956924,110,2698384
75 hp,2010,7,122,2908584,38,899234,84,2009350
75 hp,2010,8,144,3379344,38,847566,106,2531778
75 hp,2010,9,136,3066858,20,432762,116,2634096
75 hp,2010,10,138,3219462,28,631510,110,2587952
75 hp,2010,11,120,2714382,26,544848,94,2169534
75 hp,2010,12,154,3354652,32,601750,122,2752902
75 hp,2011,1,128,2964672,20,394360,108,2570312
75 hp,2011,2,146,3307086,22,473516,124,2833570
75 hp,2011,3,214,4910300,54,1196386,160,3713914
75 hp,2011,4,156,3542558,50,1013338,106,2529220
75 hp,2011,5,144,3496080,46,1169882,98,2326198
75 hp,2011,6,158,3675952,42,992146,116,2683806
75 hp,2011,7,188,4337716,36,758748,152,3578968
75 hp,2011,8,160,3838156,34,788980,126,3049176
75 hp,2011,9,182,4610902,38,868888,144,3742014
75 hp,2011,10,176,4030172,44,984622,132,3045550
75 hp,2011,11,186,4452232,46,997184,140,3455048
75 hp,2011,12,204,5138814,42,972226,162,4166588
75 hp,2012,1,212,5140822,62,1516924,150,3623898
75 hp,2012,2,206,4908934,52,1114434,154,3794500
75 hp,2012,3,242,6048344,48,1156890,194,4891454
75 hp,2012,4,212,5188806,50,1177526,162,4011280
75 hp,2012,5,200,4832522,48,1147420,152,3685102
75 hp,2012,6,216,5284612,52,1399472,164,3885140
75 hp,2012,7,164,4177648,36,955114,128,3222534
75 hp,2012,8,226,5565062,52,1281028,174,4284034
75 hp,2012,9,242,5964876,64,1595410,178,4369466
75 hp,2012,10,246,6282174,46,1113124,200,5169050
75 hp,2012,11,220,5432176,74,1817550,146,3614626
75 hp,2012,12,176,4377046,56,1322158,120,3054888
75 hp,2013,1,200,4967502,36,884452,164,4083050
75 hp,2013,2,210,5203832,60,1433880,150,3769952
75 hp,2013,3,220,5462242,50,1205188,170,4257054
75 hp,2013,4,164,4105564,36,800194,128,3305370
75 hp,2013,5,240,5887774,56,1305454,184,4582320
75 hp,2013,6,236,5671852,56,1389032,180,4282820
75 hp,2013,7,198,4941012,50,1143524,148,3797488
75 hp,2013,8,216,5413432,58,1374208,158,4039224
75 hp,2013,9,236,5934418,54,1306022,182,4628396
75 hp,2013,10,192,4847446,22,501724,170,4345722
75 hp,2013,11,192,5226836,38,900000,154,4326836
75 hp,2013,12,252,6595592,78,1914252,174,4681340
75 hp,2014,1,218,5635656,52,1285330,166,4350326
75 hp,2014,2,208,5542414,56,1572580,152,3969834
75 hp,2014,3,200,5063774,50,1236018,150,3827756
75 hp,2014,4,196,5210746,68,1890194,128,3320552
75 hp,2014,5,186,4572086,44,1114995.8,142,3457090.2
75 hp,2014,6,208,5458388,54,1346500.1,154,4111887.9
75 hp,2014,7,,,,,,
75 hp,2014,8,,,,,,
75 hp,2014,9,,,,,,
75 hp,2014,10,,,,,,
75 hp,2014,11,,,,,,
75 hp,2014,12,,,,,,
