,HP Category_x,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,HP Category_y,u.CAGI_3mths,d.CAGI_3mths,u.IR_3mths,d.IR_3mths,u.NonIR_3mths,d.NonIR_3mths,u.CAGI_6mths,d.CAGI_6mths,u.IR_6mths,d.IR_6mths,u.NonIR_6mths,d.NonIR_6mths
30,10 hp,2011,7,508.0,2135256.0,48.0,239926.0,460.0,1895330.0,10 hp,472.6666666666667,2107626.6666666665,51.333333333333336,255240.0,421.3333333333333,1852386.6666666667,402.6666666666667,1895675.0,52.333333333333336,262697.6666666667,350.3333333333333,1632977.3333333333
31,10 hp,2011,8,486.0,2232946.0,80.0,417234.0,406.0,1815712.0,10 hp,516.0,2281127.3333333335,60.666666666666664,308458.6666666667,455.3333333333333,1972668.6666666667,440.0,2035971.3333333333,58.0,294243.6666666667,382.0,1741727.6666666667
32,10 hp,2011,9,548.0,2584980.0,92.0,475812.0,456.0,2109168.0,10 hp,514.0,2317727.3333333335,73.33333333333333,377657.3333333333,440.6666666666667,1940070.0,457.6666666666667,2108665.6666666665,61.333333333333336,310929.0,396.3333333333333,1797736.6666666667
33,10 hp,2011,10,344.0,1762892.0,48.0,244512.0,296.0,1518380.0,10 hp,459.3333333333333,2193606.0,73.33333333333333,379186.0,386.0,1814420.0,466.0,2150616.3333333335,62.333333333333336,317213.0,403.6666666666667,1833403.3333333333
34,10 hp,2011,11,320.0,1717834.0,86.0,399394.0,234.0,1318440.0,10 hp,404.0,2021902.0,75.33333333333333,373239.3333333333,328.6666666666667,1648662.6666666667,460.0,2151514.6666666665,68.0,340849.0,392.0,1810665.6666666667
35,10 hp,2011,12,406.0,2273340.0,86.0,433412.0,320.0,1839928.0,10 hp,356.6666666666667,1918022.0,73.33333333333333,359106.0,283.3333333333333,1558916.0,435.3333333333333,2117874.6666666665,73.33333333333333,368381.6666666667,362.0,1749493.0
36,10 hp,2012,1,290.0,1675606.0,42.0,209862.0,248.0,1465744.0,10 hp,338.6666666666667,1888926.6666666667,71.33333333333333,347556.0,267.3333333333333,1541370.6666666667,399.0,2041266.3333333333,72.33333333333333,363371.0,326.6666666666667,1677895.3333333333
37,10 hp,2012,2,398.0,2207660.0,110.0,540982.0,288.0,1666678.0,10 hp,364.6666666666667,2052202.0,79.33333333333333,394752.0,285.3333333333333,1657450.0,384.3333333333333,2037052.0,77.33333333333333,383995.6666666667,307.0,1653056.3333333333
38,10 hp,2012,3,444.0,2444242.0,106.0,520128.0,338.0,1924114.0,10 hp,377.3333333333333,2109169.3333333335,86.0,423657.3333333333,291.3333333333333,1685512.0,367.0,2013595.6666666667,79.66666666666667,391381.6666666667,287.3333333333333,1622214.0
39,10 hp,2012,4,368.0,1986294.0,62.0,308574.0,306.0,1677720.0,10 hp,403.3333333333333,2212732.0,92.66666666666667,456561.3333333333,310.6666666666667,1756170.6666666667,371.0,2050829.3333333333,82.0,402058.6666666667,289.0,1648770.6666666667
40,10 hp,2012,5,482.0,2287008.0,74.0,378636.0,408.0,1908372.0,10 hp,431.3333333333333,2239181.3333333335,80.66666666666667,402446.0,350.6666666666667,1836735.3333333333,398.0,2145691.6666666665,80.0,398599.0,318.0,1747092.6666666667
41,10 hp,2012,6,428.0,2288512.0,72.0,353272.0,356.0,1935240.0,10 hp,426.0,2187271.3333333335,69.33333333333333,346827.3333333333,356.6666666666667,1840444.0,401.6666666666667,2148220.3333333335,77.66666666666667,385242.3333333333,324.0,1762978.0
42,10 hp,2012,7,416.0,2307460.0,98.0,507560.0,318.0,1799900.0,10 hp,442.0,2294326.6666666665,81.33333333333333,413156.0,360.6666666666667,1881170.6666666667,422.6666666666667,2253529.3333333335,87.0,434858.6666666667,335.6666666666667,1818670.6666666667
43,10 hp,2012,8,420.0,2054136.0,76.0,390636.0,344.0,1663500.0,10 hp,421.3333333333333,2216702.6666666665,82.0,417156.0,339.3333333333333,1799546.6666666667,426.3333333333333,2227942.0,81.33333333333333,409801.0,345.0,1818141.0
44,10 hp,2012,9,402.0,2103286.0,52.0,267290.0,350.0,1835996.0,10 hp,412.6666666666667,2154960.6666666665,75.33333333333333,388495.3333333333,337.3333333333333,1766465.3333333333,419.3333333333333,2171116.0,72.33333333333333,367661.3333333333,347.0,1803454.6666666667
45,10 hp,2012,10,400.0,2161064.0,62.0,337252.0,338.0,1823812.0,10 hp,407.3333333333333,2106162.0,63.333333333333336,331726.0,344.0,1774436.0,424.6666666666667,2200244.3333333335,72.33333333333333,372441.0,352.3333333333333,1827803.3333333333
