RecordID,HP Category,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,r3mo_d_CAGI,r3mo_d_IR,r3mo_d_NonIR,r3mo_u_CAGI,r3mo_u_IR,r3mo_u_NonIR,r6mo_d_CAGI,r6mo_d_IR,r6mo_d_NonIR,r6mo_u_CAGI,r6mo_u_IR,r6mo_u_NonIR
26,10 hp,2011,2,262,1391168,46,227958,216,1163210,1498599.33333333,294771.333333333,1203828,292,60,232,1541668,304081.333333333,1237586.66666667,310.666666666667,60.6666666666667,250
27,10 hp,2011,3,442,2148814,72,375700,370,1773114,1598261.33333333,277622,1320639.33333333,310,54.6666666666667,255.333333333333,1586072.33333333,312025,1274047.33333333,309,62,247
28,10 hp,2011,4,294,1511188,42,206808,252,1304380,1683723.33333333,270155.333333333,1413568,332.666666666667,53.3333333333333,279.333333333333,1610210.66666667,299859.666666667,1310351,315,60,255
29,10 hp,2011,5,356,1712444,52,257578,304,1454866,1790815.33333333,280028.666666667,1510786.66666667,364,55.3333333333333,308.666666666667,1644707.33333333,287400,1357307.33333333,328,57.6666666666667,270.333333333333
30,10 hp,2011,6,554,2475180,54,268216,500,2206964,1899604,244200.666666667,1655403.33333333,401.333333333333,49.3333333333333,352,1748932.66666667,260911.333333333,1488021.33333333,355.666666666667,52,303.666666666667
31,10 hp,2011,7,508,2135256,48,239926,460,1895330,2107626.66666667,255240,1852386.66666667,472.666666666667,51.3333333333333,421.333333333333,1895675,262697.666666667,1632977.33333333,402.666666666667,52.3333333333333,350.333333333333
32,10 hp,2011,8,486,2232946,80,417234,406,1815712,2281127.33333333,308458.666666667,1972668.66666667,516,60.6666666666667,455.333333333333,2035971.33333333,294243.666666667,1741727.66666667,440,58,382
33,10 hp,2011,9,548,2584980,92,475812,456,2109168,2317727.33333333,377657.333333333,1940070,514,73.3333333333333,440.666666666667,2108665.66666667,310929,1797736.66666667,457.666666666667,61.3333333333333,396.333333333333
34,10 hp,2011,10,344,1762892,48,244512,296,1518380,2193606,379186,1814420,459.333333333333,73.3333333333333,386,2150616.33333333,317213,1833403.33333333,466,62.3333333333333,403.666666666667
35,10 hp,2011,11,320,1717834,86,399394,234,1318440,2021902,373239.333333333,1648662.66666667,404,75.3333333333333,328.666666666667,2151514.66666667,340849,1810665.66666667,460,68,392
36,10 hp,2011,12,406,2273340,86,433412,320,1839928,1918022,359106,1558916,356.666666666667,73.3333333333333,283.333333333333,2117874.66666667,368381.666666667,1749493,435.333333333333,73.3333333333333,362
37,10 hp,2012,1,290,1675606,42,209862,248,1465744,1888926.66666667,347556,1541370.66666667,338.666666666667,71.3333333333333,267.333333333333,2041266.33333333,363371,1677895.33333333,399,72.3333333333333,326.666666666667
38,10 hp,2012,2,398,2207660,110,540982,288,1666678,2052202,394752,1657450,364.666666666667,79.3333333333333,285.333333333333,2037052,383995.666666667,1653056.33333333,384.333333333333,77.3333333333333,307
39,10 hp,2012,3,444,2444242,106,520128,338,1924114,2109169.33333333,423657.333333333,1685512,377.333333333333,86,291.333333333333,2013595.66666667,391381.666666667,1622214,367,79.6666666666667,287.333333333333
40,10 hp,2012,4,368,1986294,62,308574,306,1677720,2212732,456561.333333333,1756170.66666667,403.333333333333,92.6666666666667,310.666666666667,2050829.33333333,402058.666666667,1648770.66666667,371,82,289
